title,genres,averageRating,numVotes,releaseYear
The Fool,"Crime, Drama, Thriller",8,17474,2014
The Life and Death of Colonel Blimp,"Drama, Romance, War",8,17431,1943
Werckmeister Harmonies,"Drama, Mystery",8,16938,2000
Love Today,"Comedy, Drama, Romance",8,16922,2022
Love Exposure,"Action, Comedy, Drama",8,16900,2008
Gulaal,"Crime, Drama, Thriller",8,16554,2009
Pokiri,"Action, Crime, Thriller",8,16330,2006
Evangelion: 3.0+1.01 Thrice Upon a Time,"Action, Animation, Drama",8,16191,2021
The Last Laugh,Drama,8,15920,1924
How to Make Millions Before Grandma Dies,"Comedy, Drama, Family",8,15853,2024
Shame,Drama,8,15698,1968
Vaastav: The Reality,"Action, Crime, Drama",8,15386,1999
Moscow Does Not Believe in Tears,"Comedy, Drama, Romance",8,15044,1980
The Phantom Carriage,"Drama, Fantasy, Horror",8,15038,1921
The Bad Sleep Well,"Crime, Drama, Thriller",8,14840,1960
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Documentary, History, Music",8,14660,2021
Malik,"Action, Biography, Crime",8,14633,2021
Hey Ram,"Crime, Drama, History",8,14593,2000
Investigation of a Citizen Above Suspicion,"Crime, Drama",8,14318,1970
The Cameraman,"Comedy, Drama, Family",8,13883,1928
Forbidden Games,"Drama, War",8,13733,1952
Rekhachithram,"Drama, Mystery, Thriller",8,12794,2025
Maqbool,"Crime, Drama, Thriller",8,12736,2003
Metal: A Headbanger's Journey,"Documentary, Music",8,12695,2005
Deewaar,"Action, Crime, Drama",8,12373,1975
Stanley Kubrick: A Life in Pictures,"Biography, Documentary",8,12371,2001
The Red Pill,Documentary,8,12315,2016
The Wounds,"Comedy, Crime, Drama",8,12167,1998
Kishkindha Kaandam,"Drama, Mystery, Thriller",8,11919,2024
The Cremator,"Comedy, Crime, Drama",8,11905,1969
Ayyappanum Koshiyum,"Action, Drama, Thriller",8,11662,2020
My Grandfather's People,"Comedy, Drama, Family",8,11661,2011
Abbas in Flower,"Comedy, Drama, Romance",8,11569,1982
Por Thozhil,"Action, Crime, Thriller",8,11561,2023
The Blue Elephant 2,"Crime, Drama, Horror",8,11557,2019
An Autumn Afternoon,Drama,8,11372,1962
The First Slam Dunk,"Animation, Comedy, Drama",8,11357,2022
Paradise Lost 3: Purgatory,"Crime, Documentary",8,11240,2011
Greed,"Drama, Thriller, Western",8,11233,1924
Okkadu,"Action, Drama, Romance",8,11203,2003
Jigarthanda Double X,"Action, Comedy, Drama",8,11092,2023
Minding the Gap,"Documentary, Sport",8,10816,2018
Why We Fight,"Documentary, History, War",8,10374,2005
A Raisin in the Sun,Drama,8,10196,1961
Early Summer,"Comedy, Drama, Romance",8,10181,1951
Requiem for the American Dream,"Biography, Documentary, News",8,10096,2015
Ask Your Heart,"Drama, Romance",8,10020,2010
Avatar,"Action, Adventure, Fantasy","7,9",1430785,2009
Titanic,"Drama, Romance","7,9",1339359,1997
Iron Man,"Action, Adventure, Sci-Fi","7,9",1173692,2008
Thor: Ragnarok,"Action, Adventure, Comedy","7,9",855413,2017
Arrival,"Drama, Mystery, Sci-Fi","7,9",817382,2016
Knives Out,"Comedy, Crime, Drama","7,9",817053,2019
Shrek,"Adventure, Animation, Comedy","7,9",773423,2001
Edge of Tomorrow,"Action, Adventure, Sci-Fi","7,9",772418,2014
X-Men: Days of Future Past,"Action, Adventure, Sci-Fi","7,9",770175,2014
District 9,"Action, Sci-Fi, Thriller","7,9",735552,2009
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy","7,9",729267,2004
Life of Pi,"Adventure, Drama, Fantasy","7,9",685095,2012
Toy Story 2,"Adventure, Animation, Comedy","7,9",644927,1999
Star Trek,"Action, Adventure, Sci-Fi","7,9",629571,2009
Bohemian Rhapsody,"Biography, Drama, Music","7,9",622680,2018
Shaun of the Dead,"Comedy, Horror","7,9",619028,2004
The Perks of Being a Wallflower,Drama,"7,9",570745,2012
Children of Men,"Drama, Sci-Fi, Thriller","7,9",547589,2006
Dallas Buyers Club,"Biography, Drama","7,9",535113,2013
Mystic River,"Crime, Drama, Mystery","7,9",503994,2003
In Bruges,"Comedy, Crime, Drama","7,9",479272,2008
Jojo Rabbit,"Comedy, Drama, War","7,9",467288,2019
Zack Snyder's Justice League,"Action, Adventure, Fantasy","7,9",455919,2021
E.T. the Extra-Terrestrial,"Adventure, Family, Sci-Fi","7,9",453782,1982
Guardians of the Galaxy Vol. 3,"Action, Adventure, Comedy","7,9",428914,2023
Mulholland Drive,"Drama, Mystery, Thriller","7,9",407052,2001
The Nightmare Before Christmas,"Animation, Family, Fantasy","7,9",395245,1993
Boyhood,Drama,"7,9",375226,2014
Marriage Story,"Drama, Romance","7,9",360652,2019
The Wrestler,"Drama, Sport","7,9",325739,2008
Almost Famous,"Adventure, Comedy, Drama","7,9",304230,2000
Boogie Nights,Drama,"7,9",291219,1997
"Crouching Tiger, Hidden Dragon","Action, Adventure, Drama","7,9",288101,2000
Fantastic Mr. Fox,"Adventure, Animation, Comedy","7,9",286214,2009
Annie Hall,"Comedy, Romance","7,9",284370,1977
True Romance,"Crime, Drama, Romance","7,9",252395,1993
A Fistful of Dollars,"Drama, Western","7,9",244005,1964
Carlito's Way,"Crime, Drama, Thriller","7,9",240271,1993
The Blues Brothers,"Adventure, Comedy, Crime","7,9",221974,1980
The Holdovers,"Comedy, Drama","7,9",199739,2023
Hero,"Action, Adventure, Drama","7,9",190759,2002
Wonder,"Drama, Family","7,9",188457,2017
Before Midnight,"Drama, Romance","7,9",179284,2013
A Christmas Story,"Comedy, Family","7,9",175091,1983
The Maltese Falcon,"Crime, Drama, Film-Noir","7,9",170980,1941
Ghost in the Shell,"Action, Animation, Crime","7,9",165235,1995
Rope,"Crime, Drama, Mystery","7,9",160467,1948
This Is Spinal Tap,"Comedy, Music","7,9",151539,1984
Spartacus,"Adventure, Biography, Drama","7,9",147933,1960
Strangers on a Train,"Crime, Drama, Film-Noir","7,9",145588,1951
The Raid 2,"Action, Crime, Thriller","7,9",135769,2014
All the President's Men,"Drama, History, Thriller","7,9",131163,1976
Dancer in the Dark,"Crime, Drama, Musical","7,9",120616,2000
Talk to Her,"Drama, Mystery, Romance","7,9",119966,2002
My Name Is Khan,"Drama, Romance","7,9",119682,2010
A Streetcar Named Desire,Drama,"7,9",117433,1951
High Noon,"Drama, Thriller, Western","7,9",113620,1952
Touch of Evil,"Crime, Drama, Film-Noir","7,9",112654,1958
Patton,"Biography, Drama, War","7,9",111193,1970
Notorious,"Drama, Film-Noir, Mystery","7,9",110964,1946
Amour,Drama,"7,9",108304,2012
Sing Street,"Comedy, Drama, Music","7,9",104596,2016
Chungking Express,"Comedy, Crime, Drama","7,9",103826,1994
The Killing,"Crime, Drama, Film-Noir","7,9",101952,1956
Solaris,"Drama, Mystery, Sci-Fi","7,9",101918,1972
Short Term 12,Drama,"7,9",93790,2013
King Kong,"Adventure, Horror","7,9",93674,1933
The Big Sleep,"Crime, Drama, Film-Noir","7,9",93269,1946
The Wild Bunch,"Action, Adventure, Drama","7,9",93002,1969
Shoplifters,"Crime, Drama, Thriller","7,9",91543,2018
The Hustler,"Drama, Sport","7,9",88993,1961
In the Heat of the Night,"Drama, Mystery, Thriller","7,9",87448,1967
Doctor Zhivago,"Drama, Romance, War","7,9",84582,1965
Harold and Maude,"Comedy, Drama, Romance","7,9",84102,1971
Perfect Days,Drama,"7,9",83230,2023
The Manchurian Candidate,"Drama, Thriller","7,9",82579,1962
The Ten Commandments,"Adventure, Drama, Family","7,9",81370,1956
Wings of Desire,"Drama, Fantasy, Romance","7,9",80898,1987
Being There,"Comedy, Drama","7,9",80501,1979
Kal Ho Naa Ho,"Comedy, Drama, Musical","7,9",78430,2003
Flow,"Adventure, Animation, Family","7,9",78213,2024
Arsenic and Old Lace,"Comedy, Crime, Thriller","7,9",76896,1944
Exit Through the Gift Shop,"Comedy, Crime, Documentary","7,9",69991,2010
Karthikeya 2,"Action, Adventure, Fantasy","7,9",64732,2022
"4 Months, 3 Weeks and 2 Days",Drama,"7,9",64676,2007
Battleship Potemkin,"Drama, History, Thriller","7,9",63367,1925
Jab We Met,"Comedy, Drama, Romance","7,9",61996,2007
Baby,"Action, Thriller","7,9",61918,2015
Stalag 17,"Comedy, Drama, War","7,9",60234,1953
3-Iron,"Crime, Drama, Romance","7,9",59937,2004
Airlift,"Drama, History","7,9",59844,2016
Nine Queens,"Crime, Drama, Thriller","7,9",59793,2000
Harvey,"Comedy, Drama, Fantasy","7,9",59722,1950
About Elly,"Drama, Mystery","7,9",59166,2009
Togo,"Adventure, Biography, Drama","7,9",58896,2019
Miracle on 34th Street,"Comedy, Drama, Family","7,9",58014,1947
Icarus,"Documentary, Sport","7,9",56604,2017
The Adventures of Robin Hood,"Action, Adventure, Romance","7,9",56236,1938
Cat on a Hot Tin Roof,Drama,"7,9",55320,1958
Mirror,"Biography, Drama","7,9",55066,1975
Laura,"Drama, Film-Noir, Mystery","7,9",53796,1944
My Sassy Girl,"Comedy, Drama, Romance","7,9",51757,2001
Sleuth,"Mystery, Thriller","7,9",51459,1972
No Man's Land,"Comedy, Drama, War","7,9",49731,2001
The Return,Drama,"7,9",48602,2003
1: Nenokkadine,"Action, Thriller","7,9",47189,2014
Gully Boy,"Drama, Music, Romance","7,9",45160,2019
The Lost Weekend,"Drama, Film-Noir","7,9",41826,1945
Vishwaroopam,"Action, Thriller","7,9",41397,2013
Fitzcarraldo,"Adventure, Drama, Music","7,9",40785,1982
Kagemusha: The Shadow Warrior,"Drama, History, War","7,9",39665,1980
Super 30,"Biography, Drama","7,9",39327,2019
Badhaai Ho,"Comedy, Drama","7,9",39242,2018
Touching the Void,"Adventure, Documentary, Drama","7,9",39097,2003
Cries & Whispers,Drama,"7,9",38511,1972
Once Were Warriors,"Crime, Drama","7,9",38164,1994
In a Lonely Place,"Drama, Film-Noir, Mystery","7,9",37381,1950
The Conformist,Drama,"7,9",36901,1970
"Blood In, Blood Out","Biography, Crime, Drama","7,9",36100,1993
A Taxi Driver,"Action, Drama, History","7,9",35174,2017
Black Hawk Down,Documentary,"7,9",34629,1997
The Thin Man,"Comedy, Crime, Mystery","7,9",33832,1934
The Sacrifice,Drama,"7,9",33277,1986
Dev.D,"Comedy, Drama, Romance","7,9",33170,2009
The Rules of the Game,"Comedy, Drama","7,9",32465,1939
The Leopard,"Drama, History","7,9",32294,1963
Nostalghia,Drama,"7,9",31709,1983
The Big Heat,"Crime, Drama, Film-Noir","7,9",31053,1953
In Cold Blood,"Biography, Crime, Drama","7,9",30711,1967
