Pelicula,Año de estreno,Ganancia
Secret of the Wings,2012,13934231.340000002
Nanny McPhee,2005,-1797610.50605
Dinosaur,2000,16243318.1798
Stuart Little 2,2002,15248528.790000001
Kingdom of Heaven,2005,6784236.26
Sky Captain and the World of Tomorrow,2004,-4647825.442
John Carter,2012,-2348002.937
Zoolander,2001,-912508.324389
Hachi: A Dog's Tale,2009,2427351.2460000003
Stonehearst Asylum,2014,15128490.36
Jaws 2,1978,23489040.3992
Austin Powers: The Spy Who Shagged Me,1999,27985613.479999997
Zero Dark Thirty,2012,-896493.3139999998
St. Vincent,2014,-4586185.108399999
Megamind,2010,82283791.84
Haywire,2012,-8032418.719999999
Lethal Weapon 2,1989,-4317718.379999999
Final Destination 3,2006,-2129311.05168
Hugo,2011,-460545.5250000004
Good People,2014,-5496840.19752
Robots,2005,-557260.0856999999
Zodiac,2007,-181290.06169999996
Ronin,1998,7017541.254999999
The Place Beyond the Pines,2013,5001254.526
Heist,2015,29751240.94
Mystic River,2003,13052901.02
Pocahontas II: Journey to a New World,1998,-8538497.456
Escape Plan,2013,-1505553.7180000003
The Others,2001,13355820.2346
xXx: State of the Union,2005,-4536241.70917
TMNT,2007,11779833.45
Marvel One-Shot: All Hail the King,2014,27111370.965
Hooligans,2005,-7319831.36648
Superman II,1980,15750656.970000003
Identity Thief,2013,1052306488.1
The Jacket,2005,572283963.46
A Few Good Men,1992,289950371.5
Halloween,1978,950485702.5
Child's Play 2,1990,39967588.94000001
The Forger,2014,671532279.1
The Brave One,2007,273322388.63
Frank,2014,213043911.2
Serendipity,2001,155539325.60000002
Battle: Los Angeles,2011,663086027.0999999
Just My Luck,2006,409838008.20000005
Monsters vs Aliens,2009,22793583.119999997
Poltergeist,1982,837526967.0899999
The Last Stand,2013,259623121.2
Camp X-Ray,2014,156317569.95
Equilibrium,2002,56477720.54
Unfriended,2015,285490304.61
Star Trek V: The Final Frontier,1989,230302038.26
The 13th Warrior,1999,160193403.20000002
Stoker,2013,199051406.95
The Princess Bride,1987,80806474.172
Rambo III,1988,508789921.4
The Good Girl,2002,310636708.7
Paperman,2012,91856062.44999999
The Dead Pool,1988,14543329.0
The Good Shepherd,2006,218090266.35000002
The Stand,1994,66402590.779999994
Annie Hall,1977,48905518.669999994
Hot Pursuit,2015,226404263.4
Lawless,2012,20532190.189999998
Rambo: First Blood Part II,1985,85203035.00999999
Conan the Barbarian,1982,79168531.85
The Hours,2002,71257118.07
Final Destination 5,2011,197663854.49
Dante's Peak,1997,76736633.94999999
End of Days,1999,163621882.76
Ace Ventura: When Nature Calls,1995,-22499925.099999994
Gone,2012,28610253.5
Max Payne,2008,157652946.93
Speed 2: Cruise Control,1997,102304327.89
Mirrors,2008,46987269.006000005
Wayne's World,1992,-63979283.75000001
Out of Africa,1985,158927897.36
Lawrence of Arabia,1962,25014821.156000003
Road to Perdition,2002,52017599.29000001
Insidious: Chapter 3,2015,75390889.4
Practical Magic,1998,99596242.02000001
Leaving Las Vegas,1995,6453224.539999999
The Fly,1986,19175212.34
Rock of Ages,2012,156302853.58
Nine 1/2 Weeks,1986,242432705.77000004
O Brother Where Art Thou?,2000,421382491.29999995
Austin Powers in Goldmember,2002,19711830.899999995
Fish Tank,2009,68250975.86
S.W.A.T.,2003,49042801.06
Animal House,1978,37441334.11000001
Stolen,2012,43066271.16
Lions for Lambs,2007,51825112.5
Planet of the Apes,1968,51916959.798
Sphere,1998,-12337529.89
The Cider House Rules,1999,-9868903.846
The Iron Giant,1999,2515686.0
3:10 to Yuma,2007,30530268.510000005
Rocky IV,1985,-42599037.944
Julie & Julia,2009,-2951313.1610000012
Jarhead,2005,23554442.509999998
The Switch,2010,88025813.91
No Good Deed,2014,128078882.31
The Runaways,2010,10499150.079999998
August Rush,2007,106560963.79999998
Chloe,2009,108274890.52999999
Dragonheart 3: The Sorcerer's Curse,2015,72584313.25
Pitch Black,2000,936033.3500000015
Twins,1988,36533612.026
Awake,2007,-155110171.08
Still Alice,2014,42309552.79000001
